rank,concept_name,component_count,stock_code,stock_name
1,玻璃纤维指数,8,002080,中材科技
1,玻璃纤维指数,8,002201,九鼎新材
1,玻璃纤维指数,8,300196,长海股份
1,玻璃纤维指数,8,600176,中国巨石
1,玻璃纤维指数,8,600545,卓郎智能
1,玻璃纤维指数,8,603256,宏和科技
1,玻璃纤维指数,8,603601,再升科技
1,玻璃纤维指数,8,605006,山东玻纤
2,培育钻石指数,8,000519,中兵红箭
2,培育钻石指数,8,002046,国机精工
2,培育钻石指数,8,300179,四方达
2,培育钻石指数,8,301071,力量钻石
2,培育钻石指数,8,600172,黄河旋风
2,培育钻石指数,8,605580,恒盛能源
2,培育钻石指数,8,688028,沃尔德
2,培育钻石指数,8,920725,惠丰钻石
3,光模块(CPO)指数,25,000988,华工科技
3,光模块(CPO)指数,25,002281,光迅科技
3,光模块(CPO)指数,25,002384,东山精密
3,光模块(CPO)指数,25,002792,通宇通讯
3,光模块(CPO)指数,25,002897,意华股份
3,光模块(CPO)指数,25,002902,铭普光磁
3,光模块(CPO)指数,25,002957,科瑞技术
3,光模块(CPO)指数,25,002980,华盛昌
3,光模块(CPO)指数,25,300308,中际旭创
3,光模块(CPO)指数,25,300394,天孚通信
3,光模块(CPO)指数,25,300502,新易盛
3,光模块(CPO)指数,25,300548,长芯博创
3,光模块(CPO)指数,25,300570,太辰光
3,光模块(CPO)指数,25,300620,光库科技
3,光模块(CPO)指数,25,300757,罗博特科
3,光模块(CPO)指数,25,300852,四会富仕
3,光模块(CPO)指数,25,301165,锐捷网络
3,光模块(CPO)指数,25,301205,联特科技
3,光模块(CPO)指数,25,600330,天通股份
3,光模块(CPO)指数,25,603083,剑桥科技
3,光模块(CPO)指数,25,688048,长光华芯
3,光模块(CPO)指数,25,688205,德科立
3,光模块(CPO)指数,25,688313,仕佳光子
3,光模块(CPO)指数,25,688498,源杰科技
3,光模块(CPO)指数,25,688808,联讯仪器
4,半导体设备指数,24,000066,中国长城
4,半导体设备指数,24,002008,大族激光
4,半导体设备指数,24,002371,北方华创
4,半导体设备指数,24,002796,世嘉科技
4,半导体设备指数,24,003043,华亚智能
4,半导体设备指数,24,300316,晶盛机电
4,半导体设备指数,24,300604,长川科技
4,半导体设备指数,24,300903,科翔股份
4,半导体设备指数,24,301319,唯特偶
4,半导体设备指数,24,301366,一博科技
4,半导体设备指数,24,600487,亨通光电
4,半导体设备指数,24,603011,合锻智能
4,半导体设备指数,24,603061,金海通
4,半导体设备指数,24,603203,快克智能
4,半导体设备指数,24,603306,华懋科技
4,半导体设备指数,24,603690,至纯科技
4,半导体设备指数,24,688012,中微公司
4,半导体设备指数,24,688037,芯源微
4,半导体设备指数,24,688072,拓荆科技
4,半导体设备指数,24,688112,鼎阳科技
4,半导体设备指数,24,688120,华海清科
4,半导体设备指数,24,688200,华峰测控
4,半导体设备指数,24,688409,富创精密
4,半导体设备指数,24,688630,芯碁微装
5,光通信指数,23,000063,中兴通讯
5,光通信指数,23,000070,特发信息
5,光通信指数,23,000938,紫光股份
5,光通信指数,23,000988,华工科技
5,光通信指数,23,002281,光迅科技
5,光通信指数,23,002396,星网锐捷
5,光通信指数,23,002491,通鼎互联
5,光通信指数,23,002792,通宇通讯
5,光通信指数,23,300308,中际旭创
5,光通信指数,23,300394,天孚通信
5,光通信指数,23,300502,新易盛
5,光通信指数,23,301369,联动科技
5,光通信指数,23,600105,永鼎股份
5,光通信指数,23,600487,亨通光电
5,光通信指数,23,600498,烽火通信
5,光通信指数,23,600522,中天科技
5,光通信指数,23,603118,共进股份
5,光通信指数,23,688478,晶升股份
5,光通信指数,23,688605,先锋精科
5,光通信指数,23,688627,精智达
5,光通信指数,23,688652,京仪装备
5,光通信指数,23,688661,和林微纳
5,光通信指数,23,688729,屹唐股份
6,电路板指数,53,000823,超声电子
6,电路板指数,53,001389,广合科技
6,电路板指数,53,002008,大族激光
6,电路板指数,53,002134,天津普林
6,电路板指数,53,002222,福晶科技
6,电路板指数,53,002384,东山精密
